name,handedness,height,weight,avg,HR,BMI,BMI-C,avg-C,size
Adolfo Phillips,Right,73,175,0.247,59,24,24-26,avg<0.26,2
Al Bumbry,Left,68,170,0.281,54,26,24-26,avg<0.33,2
Al Cowens,Right,73,197,0.27,108,27,27-31,avg<0.33,2
Al Downing,Right,71,175,0.127,2,25,24-26,avg<0.23,2
Al Ferrara,Right,73,200,0.259,51,27,27-31,avg<0.26,2
Al Gallagher,Right,72,180,0.263,11,25,24-26,avg<0.33,2
Al Luplow,Left,70,175,0.235,33,26,24-26,avg<0.26,2
Al Oliver,Left,72,195,0.303,219,27,27-31,avg<0.33,2
Al Weis,Both,72,160,0.219,7,22,20-23,avg<0.23,2
Al Woods,Left,75,190,0.271,35,24,24-26,avg<0.33,2
Alan Ashby,Both,74,185,0.245,90,24,24-26,avg<0.26,2
Alan Bannister,Right,71,170,0.27,19,24,24-26,avg<0.33,2
Alan Knicely,Right,72,190,0.213,12,26,24-26,avg<0.23,2
Alan Wiggins,Both,74,160,0.259,5,21,20-23,avg<0.26,2
Albert Hall,Both,71,155,0.251,5,22,20-23,avg<0.26,2
Alex Johnson,Right,72,205,0.288,78,28,27-31,avg<0.33,2
Alex Trevino,Right,70,165,0.249,23,24,24-26,avg<0.26,2
Amos Otis,Right,71,165,0.277,193,24,24-26,avg<0.33,2
Andre Robertson,Right,70,155,0.251,5,23,20-23,avg<0.26,2
Andre Thornton,Right,75,200,0.254,253,26,24-26,avg<0.26,2
Andres Mora,Right,72,180,0.223,27,25,24-26,avg<0.23,2
Andres Thomas,Right,73,170,0.234,42,23,20-23,avg<0.26,2
Andy Etchebarren,Right,73,190,0.235,49,26,24-26,avg<0.26,2
Andy Kosco,Right,75,205,0.236,73,26,24-26,avg<0.26,2
Andy Messersmith,Right,73,200,0.17,5,27,27-31,avg<0.23,2
Angel Mangual,Right,70,178,0.245,22,26,24-26,avg<0.26,2
Angel Salazar,Right,72,180,0.212,2,25,24-26,avg<0.23,2
Art Howe,Right,74,190,0.26,43,25,24-26,avg<0.33,2
Art Shamsky,Left,73,168,0.253,68,23,20-23,avg<0.26,2
Aurelio Rodriguez,Right,70,180,0.237,124,26,24-26,avg<0.26,2
Bake McBride,Left,74,190,0.299,63,25,24-26,avg<0.33,2
Barbaro Garbey,Right,70,170,0.267,11,25,24-26,avg<0.33,2
Barry Bonnell,Right,75,190,0.272,56,24,24-26,avg<0.33,2
Barry Evans,Right,73,180,0.251,2,24,24-26,avg<0.26,2
Barry Foote,Right,75,205,0.23,57,26,24-26,avg<0.26,2
Ben Oglivie,Left,74,160,0.273,235,21,20-23,avg<0.33,2
Benny Ayala,Right,73,185,0.251,38,25,24-26,avg<0.26,2
Bernie Allen,Left,72,175,0.239,73,24,24-26,avg<0.26,2
Bernie Carbo,Left,71,173,0.264,96,25,24-26,avg<0.33,2
Bert Campaneris,Right,70,160,0.259,79,24,24-26,avg<0.26,2
Biff Pocoroba,Both,70,175,0.257,21,26,24-26,avg<0.26,2
Bill Almon,Right,75,180,0.254,36,23,20-23,avg<0.26,2
Bill Buckner,Left,72,185,0.289,174,26,24-26,avg<0.33,2
Bill Fahey,Left,72,200,0.241,7,28,27-31,avg<0.26,2
Bill Freehan,Right,75,203,0.262,200,26,24-26,avg<0.33,2
Bill Madlock,Right,71,180,0.305,163,26,24-26,avg<0.33,2
Bill Melton,Right,74,200,0.253,160,26,24-26,avg<0.26,2
Bill Nahorodny,Right,74,200,0.241,25,26,24-26,avg<0.26,2
Bill Plummer,Right,73,190,0.188,14,26,24-26,avg<0.23,2
Bill Robinson,Right,74,189,0.258,166,25,24-26,avg<0.26,2
Bill Russell,Right,72,175,0.263,46,24,24-26,avg<0.33,2
Bill Sample,Right,69,175,0.272,46,26,24-26,avg<0.33,2
Bill Schroeder,Right,74,200,0.24,61,26,24-26,avg<0.26,2
Bill Sharp,Left,70,178,0.255,9,26,24-26,avg<0.26,2
Bill Stein,Right,70,170,0.267,44,25,24-26,avg<0.33,2
Bill Sudakis,Both,73,190,0.234,59,26,24-26,avg<0.26,2
Bill Voss,Left,74,160,0.227,19,21,20-23,avg<0.23,2
Billy Bryan,Left,76,200,0.216,41,25,24-26,avg<0.23,2
Billy Conigliaro,Right,72,180,0.256,40,25,24-26,avg<0.26,2
Billy Cowan,Right,72,170,0.236,40,24,24-26,avg<0.26,2
Billy Grabarkewitz,Right,70,165,0.236,28,24,24-26,avg<0.26,2
Billy North,Both,71,185,0.261,20,26,24-26,avg<0.33,2
Billy Smith,Both,74,185,0.23,17,24,24-26,avg<0.26,2
Bo Diaz,Right,71,185,0.255,87,26,24-26,avg<0.26,2
Bob Bailey,Right,73,180,0.257,189,24,24-26,avg<0.26,2
Bob Bailor,Right,71,170,0.264,9,24,24-26,avg<0.33,2
Bob Barton,Right,72,175,0.226,9,24,24-26,avg<0.23,2
Bob Boone,Right,74,195,0.254,105,26,24-26,avg<0.26,2
Bob Brenly,Right,74,210,0.247,91,28,27-31,avg<0.26,2
Bob Brower,Right,71,185,0.242,17,26,24-26,avg<0.26,2
Bob Burda,Left,71,174,0.224,13,25,24-26,avg<0.23,2
Bob Chance,Left,74,196,0.261,24,26,24-26,avg<0.33,2
Bob Coluccio,Right,71,183,0.22,26,26,24-26,avg<0.23,2
Bob Davis,Right,72,180,0.197,6,25,24-26,avg<0.23,2
Bob Dernier,Right,72,160,0.255,23,22,20-23,avg<0.26,2
Bob Didier,Both,72,190,0.229,0,26,24-26,avg<0.23,2
Bob Forsch,Right,76,200,0.213,12,25,24-26,avg<0.23,2
Bob Heise,Right,72,175,0.247,1,24,24-26,avg<0.26,2
Bob Horner,Right,73,195,0.277,218,26,24-26,avg<0.33,2
Bob Johnson,Right,70,175,0.272,44,26,24-26,avg<0.33,2
