name,handedness,height,weight,avg,HR,BMI,BMI-C,avg-C,size
Adolfo Phillips,R,73,175,0.247,59,24,24-26,avg<0.26,2
Al Bumbry,L,68,170,0.281,54,26,24-26,avg<0.33,2
Al Cowens,R,73,197,0.27,108,27,27-31,avg<0.33,2
Al Downing,R,71,175,0.127,2,25,24-26,avg<0.23,2
Al Ferrara,R,73,200,0.259,51,27,27-31,avg<0.26,2
Al Gallagher,R,72,180,0.263,11,25,24-26,avg<0.33,2
Al Luplow,L,70,175,0.235,33,26,24-26,avg<0.26,2
Al Oliver,L,72,195,0.303,219,27,27-31,avg<0.33,2
Al Weis,B,72,160,0.219,7,22,20-23,avg<0.23,2
Al Woods,L,75,190,0.271,35,24,24-26,avg<0.33,2
Alan Ashby,B,74,185,0.245,90,24,24-26,avg<0.26,2
Alan Bannister,R,71,170,0.27,19,24,24-26,avg<0.33,2
Alan Knicely,R,72,190,0.213,12,26,24-26,avg<0.23,2
Alan Wiggins,B,74,160,0.259,5,21,20-23,avg<0.26,2
Albert Hall,B,71,155,0.251,5,22,20-23,avg<0.26,2
Alex Johnson,R,72,205,0.288,78,28,27-31,avg<0.33,2
Alex Trevino,R,70,165,0.249,23,24,24-26,avg<0.26,2
Amos Otis,R,71,165,0.277,193,24,24-26,avg<0.33,2
Andre Robertson,R,70,155,0.251,5,23,20-23,avg<0.26,2
Andre Thornton,R,75,200,0.254,253,26,24-26,avg<0.26,2
Andres Mora,R,72,180,0.223,27,25,24-26,avg<0.23,2
Andres Thomas,R,73,170,0.234,42,23,20-23,avg<0.26,2
Andy Etchebarren,R,73,190,0.235,49,26,24-26,avg<0.26,2
Andy Kosco,R,75,205,0.236,73,26,24-26,avg<0.26,2
Andy Messersmith,R,73,200,0.17,5,27,27-31,avg<0.23,2
Angel Mangual,R,70,178,0.245,22,26,24-26,avg<0.26,2
Angel Salazar,R,72,180,0.212,2,25,24-26,avg<0.23,2
Art Howe,R,74,190,0.26,43,25,24-26,avg<0.33,2
Art Shamsky,L,73,168,0.253,68,23,20-23,avg<0.26,2
Aurelio Rodriguez,R,70,180,0.237,124,26,24-26,avg<0.26,2
Bake McBride,L,74,190,0.299,63,25,24-26,avg<0.33,2
Barbaro Garbey,R,70,170,0.267,11,25,24-26,avg<0.33,2
Barry Bonnell,R,75,190,0.272,56,24,24-26,avg<0.33,2
Barry Evans,R,73,180,0.251,2,24,24-26,avg<0.26,2
Barry Foote,R,75,205,0.23,57,26,24-26,avg<0.26,2
Ben Oglivie,L,74,160,0.273,235,21,20-23,avg<0.33,2
Benny Ayala,R,73,185,0.251,38,25,24-26,avg<0.26,2
Bernie Allen,L,72,175,0.239,73,24,24-26,avg<0.26,2
Bernie Carbo,L,71,173,0.264,96,25,24-26,avg<0.33,2
Bert Campaneris,R,70,160,0.259,79,24,24-26,avg<0.26,2
Biff Pocoroba,B,70,175,0.257,21,26,24-26,avg<0.26,2
Bill Almon,R,75,180,0.254,36,23,20-23,avg<0.26,2
Bill Buckner,L,72,185,0.289,174,26,24-26,avg<0.33,2
Bill Fahey,L,72,200,0.241,7,28,27-31,avg<0.26,2
Bill Freehan,R,75,203,0.262,200,26,24-26,avg<0.33,2
Bill Madlock,R,71,180,0.305,163,26,24-26,avg<0.33,2
Bill Melton,R,74,200,0.253,160,26,24-26,avg<0.26,2
Bill Nahorodny,R,74,200,0.241,25,26,24-26,avg<0.26,2
Bill Plummer,R,73,190,0.188,14,26,24-26,avg<0.23,2
Bill Robinson,R,74,189,0.258,166,25,24-26,avg<0.26,2
Bill Russell,R,72,175,0.263,46,24,24-26,avg<0.33,2
Bill Sample,R,69,175,0.272,46,26,24-26,avg<0.33,2
Bill Schroeder,R,74,200,0.24,61,26,24-26,avg<0.26,2
Bill Sharp,L,70,178,0.255,9,26,24-26,avg<0.26,2
Bill Stein,R,70,170,0.267,44,25,24-26,avg<0.33,2
Bill Sudakis,B,73,190,0.234,59,26,24-26,avg<0.26,2
